time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,label
1.760777,-0.1691,-0.1503,-0.1219,4.3034,1.8759,-2.7291,-86.3813,-15.15,-22.7438,
1.765995,-0.3362,-0.1151,-0.3686,4.3034,1.8759,-2.7291,-86.3813,-15.15,-22.7438,
1.778982,-0.3362,-0.1151,-0.3686,4.1006,1.7021,-2.6393,-86.3813,-15.15,-22.7438,
1.794799,-0.426,-0.0618,-0.5238,4.1006,1.7021,-2.6393,-86.3813,-15.15,-22.7438,
1.815679,-0.4996,-0.0212,-0.5726,4.1006,1.7021,-2.6393,-86.3813,-15.15,-22.7438,
1.817434,-0.5333,0.0208,-0.6017,4.1006,1.7021,-2.6393,-86.3813,-15.15,-22.7438,
1.818379,-0.5333,0.0208,-0.6017,4.1006,1.7021,-2.6393,-86.3813,-15.15,-22.7438,
1.819055,-0.5333,0.0208,-0.6017,4.1006,1.7021,-2.6393,-87.375,-14.7375,-21.2438,
1.834397,-0.5333,0.0208,-0.6017,1.7224,1.4031,-1.0158,-87.375,-14.7375,-21.2438,
1.862526,-0.5487,0.0704,-0.6821,1.7224,1.4031,-1.0158,-87.375,-14.7375,-21.2438,
1.866193,-0.5712,0.1131,-0.7505,1.7224,1.4031,-1.0158,-87.375,-14.7375,-21.2438,
1.872615,-0.5577,0.1446,-0.7891,1.7224,1.4031,-1.0158,-87.375,-14.7375,-21.2438,
1.875247,-0.5577,0.1446,-0.7891,1.7224,1.4031,-1.0158,-87.375,-14.7375,-21.2438,
1.877096,-0.5577,0.1446,-0.7891,1.7224,1.4031,-1.0158,-88.2375,-14.1375,-20.3063,
1.911219,-0.5062,0.1559,-0.8155,1.7224,1.4031,-1.0158,-88.2375,-14.1375,-20.3063,
1.913705,-0.5062,0.1559,-0.8155,-0.3651,0.2717,0.4577,-88.2375,-14.1375,-20.3063,
1.929882,-0.4688,0.1243,-0.7793,-0.3651,0.2717,0.4577,-88.2375,-14.1375,-20.3063,
1.933505,-0.4187,0.0589,-0.6772,-0.3651,0.2717,0.4577,-88.2375,-14.1375,-20.3063,
1.936669,-0.4187,0.0589,-0.6772,-0.3651,0.2717,0.4577,-88.2375,-14.1375,-20.3063,
1.95567,-0.3696,-0.0205,-0.5521,-0.3651,0.2717,0.4577,-88.2375,-14.1375,-20.3063,
1.95828,-0.3696,-0.0205,-0.5521,-0.3651,0.2717,0.4577,-89.0438,-13.6875,-19.2938,
1.966158,-0.3696,-0.0205,-0.5521,-2.9912,-0.8127,1.5373,-89.0438,-13.6875,-19.2938,
1.979883,-0.3127,-0.083,-0.4099,-2.9912,-0.8127,1.5373,-89.0438,-13.6875,-19.2938,
1.985749,-0.1713,-0.0611,-0.193,-2.9912,-0.8127,1.5373,-89.0438,-13.6875,-19.2938,
1.987305,-0.1713,-0.0611,-0.193,-2.9912,-0.8127,1.5373,-89.0438,-13.6875,-19.2938,
2.016095,0.0762,0.0042,0.1564,-2.9912,-0.8127,1.5373,-89.0438,-13.6875,-19.2938,
2.017883,0.0762,0.0042,0.1564,-2.9912,-0.8127,1.5373,-89.7188,-13.5563,-18.3938,
2.023171,0.0762,0.0042,0.1564,-5.2298,-2.3811,2.7778,-89.7188,-13.5563,-18.3938,
2.032814,0.525,0.0386,1.0744,-5.2298,-2.3811,2.7778,-89.7188,-13.5563,-18.3938,
2.042407,1.1961,0.0647,2.5666,-5.2298,-2.3811,2.7778,-89.7188,-13.5563,-18.3938,
2.045534,1.1961,0.0647,2.5666,-5.2298,-2.3811,2.7778,-89.7188,-13.5563,-18.3938,
2.076131,1.1961,0.0647,2.5666,-5.2298,-2.3811,2.7778,-90.1313,-13.5,-17.9062,
2.088052,2.108,0.4292,4.487,-5.2298,-2.3811,2.7778,-90.1313,-13.5,-17.9062,
2.118326,2.108,0.4292,4.487,-5.2298,-2.3811,2.7778,-90.1313,-13.5,-17.9062,
2.119293,1.6527,0.6183,4.3893,-5.2298,-2.3811,2.7778,-90.1313,-13.5,-17.9062,
2.120299,1.4641,0.8328,3.4497,-5.2298,-2.3811,2.7778,-90.1313,-13.5,-17.9062,
2.121336,1.4641,0.8328,3.4497,-2.6813,-1.6943,1.4257,-90.1313,-13.5,-17.9062,
2.155879,1.2466,0.8008,2.5864,-2.6813,-1.6943,1.4257,-90.1313,-13.5,-17.9062,
2.158289,1.2466,0.8008,2.5864,-2.6813,-1.6943,1.4257,-89.925,-12.825,-18.3188,
2.176156,1.2466,0.8008,2.5864,3.3627,1.5432,-1.5349,-89.925,-12.825,-18.3188,
2.179331,1.2466,0.8008,2.5864,3.3627,1.5432,-1.5349,-89.925,-12.825,-18.3188,
2.181235,0.9743,0.5186,2.1645,3.3627,1.5432,-1.5349,-89.925,-12.825,-18.3188,
2.183577,0.784,0.2639,1.7939,3.3627,1.5432,-1.5349,-89.925,-12.825,-18.3188,
2.198241,0.6342,0.1236,1.1804,3.3627,1.5432,-1.5349,-89.925,-12.825,-18.3188,
2.215373,0.4935,0.0555,0.6608,3.3627,1.5432,-1.5349,-89.925,-12.825,-18.3188,
2.21739,0.4935,0.0555,0.6608,3.3627,1.5432,-1.5349,-89.5312,-12.0938,-18.9,
2.230589,0.2697,0.0046,0.2934,3.3627,1.5432,-1.5349,-89.5312,-12.0938,-18.9,
2.232055,0.2697,0.0046,0.2934,3.3627,1.5432,-1.5349,-89.5312,-12.0938,-18.9,
2.250209,0.2697,0.0046,0.2934,5.3162,1.4091,-2.781,-89.5312,-12.0938,-18.9,
2.259182,-0.0239,-0.0308,0.0325,5.3162,1.4091,-2.781,-89.5312,-12.0938,-18.9,
2.275684,-0.0239,-0.0308,0.0325,5.3162,1.4091,-2.781,-89.4938,-12.0375,-19.3688,
2.278203,-0.255,-0.0354,-0.2133,5.3162,1.4091,-2.781,-89.4938,-12.0375,-19.3688,
2.289219,-0.3032,-0.0073,-0.3694,5.3162,1.4091,-2.781,-89.4938,-12.0375,-19.3688,
